val,label,level,level_order,adult
24210,METSL,14,4,1
24211,METSL,14,4,1
2422,METSL,14,4,1
24220,METSL,14,4,1
24221,METSL,14,4,1
2423,METSL,14,4,1
24230,METSL,14,4,1
24231,METSL,14,4,1
2424,METSL,14,4,1
24240,METSL,14,4,1
24241,METSL,14,4,1
2428,METSL,14,4,1
24280,METSL,14,4,1
24281,METSL,14,4,1
2429,METSL,14,4,1
24290,METSL,14,4,1
24291,METSL,14,4,1
243,METSL,14,4,1
244,METSL,14,4,1
2440,METSL,14,4,1
2441,METSL,14,4,1
2442,METSL,14,4,1
2443,METSL,14,4,1
2448,METSL,14,4,1
2449,METSL,14,4,1
245,METSL,14,4,1
2450,METSL,14,4,1
2451,METSL,14,4,1
2452,METSL,14,4,1
2453,METSL,14,4,1
2454,METSL,14,4,1
2458,METSL,14,4,1
2459,METSL,14,4,1
246,METSL,14,4,1
2460,METSL,14,4,1
2461,METSL,14,4,1
2462,METSL,14,4,1
2463,METSL,14,4,1
2468,METSL,14,4,1
2469,METSL,14,4,1
24900,DIA2L,7,4,1
24901,DIA2L,7,4,1
24910,DIA2M,7,3,1
24911,DIA2M,7,3,1
24920,DIA2M,7,3,1
24921,DIA2M,7,3,1
24930,DIA2M,7,3,1
24931,DIA2M,7,3,1
24940,DIA2M,7,3,1
24941,DIA2M,7,3,1
24950,DIA2M,7,3,1
24951,DIA2M,7,3,1
24960,DIA2M,7,3,1
24961,DIA2M,7,3,1
24970,DIA2M,7,3,1
24971,DIA2M,7,3,1
24980,DIA2L,7,4,1
24981,DIA2L,7,4,1
24990,DIA2L,7,4,1
24991,DIA2L,7,4,1
250,DIA2L,7,4,1
2500,DIA2L,7,4,1
25000,DIA2L,7,4,1
25001,DIA1M,7,2,1
25002,DIA2L,7,4,1
25003,DIA1M,7,2,1
2501,DIA1M,7,2,1
25010,DIA1M,7,2,1
25011,DIA1M,7,2,1
25012,DIA1M,7,2,1
25013,DIA1M,7,2,1
2502,DIA2M,7,3,1
25020,DIA2M,7,3,1
25021,DIA1H,7,1,1
